1;ARESTER CONTACT FLASTRAB VAL -MS 230 ST (7POLE) PHOENIX;15
2;ARESTER VAL-MS 230/3+1 FM PHOENIX;0
3;ARRESTER 4P WR-C40 WRDZ;10
4;BUS BAR 300 X 100 X 8MM (alumunium);19
5;COS 40 A 4 POLE SOCOMEC;0
6;COS 63 A 4 POLE KRAUSNAIMER (KN);0
7;COS 63 A ABB;0
8;GEMBOK 50 MM  KEND;0
9;GEMBOK 50 MM MASTER PADLOCK;0
10;GEMBOK MANUAL 40 MM  SHISUKA;0
11;GEMBOK PADLOCK 50 MM DOORMATIC;9
12;ISOLATOR BULAT 40 X 40 MM;0
13;KLEM BUAYA;5
14;KLEM KUKU MACAN 70MM;30
15;LAMPU OBL L810 SMI POWER;0
16;LAMPU OBL LS810 NANHUA;0
17;MICRO SD 64GB SANDISK;2
18;MODEM MIFI 4G MQ531 RODSON;0
19;MOUNTING OBL NANHUA;2
20;OL32 LED BASED LOW INTENSITY SINGLE OBSTRACTION LIGHT;0
21;PHOTOCELL 220V 6A LUMINA;7
22;SKUN 70 MM;65
23;SKUN SC 50-10 MM;97
24;"SPLITZEN 3/4"" X 60 CM";27
25;WIRELES IP CAMERA INFRARED OUTDOOR WATERPROOF / CCTV KAMERA;2
26;LIGHT OBL-12-AL INDOLEEDS;0
27;LAMPU OBL RE-CONDITION (REPAIR);0
28;COS 63 A 4 POLE SOCOMEC;0
